input,Flat,50x50,15x15,v_flat,s_flat,v_50,s_50,v_15,s_15
0.1,0,0,0,0.17,0.01,0.057,0.008,0.01,0.005
0.5,0.060530315,0.102816059,0.110325097,0.86,0.048,0.28,0.041,0.07,0.022
1,0.129039081,0.105969964,0.110325097,1.75,0.096,0.57,0.08,0.14,0.05
3,0.063815908,0.042581018,0.031861033,5.2,0.29,1.7,0.25,0.44,0.12
5,0.040573944,0.028520151,0.020000557,8.65,0.485,2.86,0.41,0.73,0.22
10,0.023417057,0.017712591,0.020000557,17.3,0.97,5.73,0.8,1.46,0.44
3.3723,0.057900226,0.038743815,0.028584507,5.8,0.32,1.82,0.27,0.48,0.15
2.6064,0.073230286,0.047663772,0.03630152,4.51,0.25,1.48,0.16,0.3,0.098
2.6683,0.071664538,0.046766003,0.035513746,4.68,0.258,1.53,0.17,0.32,0.101
2.5395,0.075007919,0.048679956,0.037197414,4.41,0.245,1.28,0.161,0.26,0.092
